Nome;Pergunta;Resposta
BetaTrinta;Quais são os riscos para a saúde relacionados ao uso de BetaTrinta?;Alguns dos efeitos colaterais de BetaTrinta podem incluir alterações nos tendões, músculos ou nervos, problemas intestinais ou de estômago, problemas de pele, problemas neurológicos ou psiquiátricos, falta ou excesso de pigmentação na pele, vermelhidão, inchaço e coceira no local da injeção.
Proflam;Há alguma condição específica em que o uso de Proflam é desaconselhado?;Este remédio não deve ser usado em pessoas com alergia a qualquer componente da fórmula, crianças menores de 12 anos, grávidas e mulheres a amamentar, pessoas com broncoespasmo, urticária ou rinite aguda devido ao ácido acetilsalicílico ou a outros anti-inflamatórios não-esteroidais.
Migral;Quando não devo usar Migral?;Em pacientes portadores de alguma lesão gástrica, dispepsia, no primeiro trimestre da gravidez, hipertensão, doença vascular periférica, cardíaca, renal ou hepática.
Cataflam comprimido;Quais são os riscos para a saúde relacionados ao uso de Cataflam comprimido?;Algumas reações adversas mais comuns que podem ocorrer com o uso de Cataflam são dor de cabeça, tontura, náusea, vômito, diarréia, indigestão, dor abdominal, flatulência, perda do apetite, mudança na função do fígado e vermelhidão na pele com ou sem descamação.
Cardizem Cd;Há alguma condição específica em que o uso de Cardizem Cd é desaconselhado?;"Diltiazem é contra-indicado em bloqueio sinoatrial, síndrome do nódulo sinusal, exceto em pacientes em uso de marcapasso, bloqueio atrioventricular de 2º ou 3º graus, insuficiência cardíaca descompensada, PA sistólica menor do que 90 mmHg, bradicardia intensa (pulso inferior a 55 bpm); hipersensibilidade à substância ativa; contra-indicado a crianças, gestantes e lactantes (diltiazem se difunde para o leite materno); infarto agudo do miocárdio com congestão pulmonar."
Vitanol A;Quais são os possíveis efeitos colaterais associados a Vitanol A?;Poderão ocorrer vermelhidão e ardor local transitórios, considerados normais na terapia com tretinoína.
Cardizem Sr;Qual é o propósito principal de Cardizem Sr na área da saúde?;"Hipertensão arterial leve e moderada; angina pectoris vasoespástica (de repouso, com elevação do segmento ST, angina de Prinzmetal); angina pectoris crônica, estável e de esforço; coronariopatias isquêmicas com hipertensão arterial e (ou) taquicardia; estados anginosos pós-infarto do miocárdio."
Para que serve o Motilium;Quais são os possíveis efeitos colaterais associados a Para que serve o Motilium?;Os efeitos colaterais mais comuns que podem ocorrer durante o tratamento com Motilium são depressão, ansiedade, diminuição ou perda do desejo sexual, dor de cabeça, sonolência, inquietação, diarreia, erupção cutânea, coceira, aumento e sensibilidade das mamas, galactorreia, suspensão da menstruação, menstruação irregular e fraqueza muscular.
Firazyr;Quais são os possíveis efeitos colaterais associados a Firazyr?;Os efeitos colaterais mais comuns são contusões, hematoma, dormência, edema, sensação de pressão, ardor, coceira e irritação da pele, vermelhidão da pele, queimação, dor, inchaço e coceira.
Proflam;Quais são os princípios do funcionamento de Proflam?;O Proflam contém aceclonefano, que tem ação anti-inflamatória não-esteroidal, apresentando por isso efeitos na inflamação, e possuindo propriedades analgésicas, o que leva ao alívio de diversas condições dolorosas.
Mestinon;Como funciona Mestinon?;A piridostigmina, como os demais medicamentos pertencentes ao mesmo grupo, é absorvidaapenas parcialmente pelo trato gastrintestinal. A biodisponibilidade, após administração oral, é de3 a 8%. As concentrações plasmáticas máximas, estando o paciente em jejum, são alcançadasentre 1½ a 2 horas, após a ingestão de 120 mg de piridostigmina. Quando o produto é ingeridojuntamente com as refeições, a concentração aumenta mais lentamente.O volume médio de distribuição é de 1,4 litros/kg de peso. A piridostigmina não se ligafortemente às proteínas plasmáticas e não atravessa a barreira hematoencefálica.Com respeito ao tempo de meia-eliminação, os valores médios estão situados em torno de 1½hora. Em alguns casos, este tempo pode triplicar. O clearance plasmático médio, em indivíduossadios, varia entre 0,36 e 0,65 l/h/kg. Não existem dados conclusivos sobre a possibilidade deacúmulo da piridostigmina inalterada ou de metabólitos ativos no organismo. Na prática clínica,este ponto reveste-se de menor importância, uma vez que a posologia do Mestinon deve sersempre adaptada a cada caso em particular.A piridostigmina é eliminada em sua maior parte (75 - 81%) sob forma inalterada por via renal.Uma pequena fração (18-21%) aparece na urina sob a forma de metabólito3-hidroxi-N-metil-piridina. Outros metabólitos não identificados representam 1 a 4% do total erevestem-se de pouca importância.As concentrações plasmáticas necessárias para a obtenção do efeito terapêutico no tratamento damiastenia gravis são de 20 a 60 ng/ml.As alterações da função hepática não exercem qualquer influência importante sobre a cinética dapiridostigmina. No caso de insuficiência renal devido à idade ou em decorrência de uma doença,o tempo de meia-eliminação pode estar quadruplicado, e o clearance plasmático pode reduzir-seà quinta parte de seu valor normal.
Frontal XR;Quais são os riscos para a saúde relacionados ao uso de Frontal XR?;Os efeitos colaterais de Frontal XR, se presentes, geralmente são observados no início do tratamento e habitualmente desaparecem com a continuidade do tratamento ou diminuição da dose.Informe ao seu médico do aparecimento de qualquer reação desagradável durante o tratamento com Frontal XR. Os eventos adversos associados ao tratamento com alprazolam em pacientes participantes de estudos clínicos controlados foram os seguintes: Reações muito comuns (ocorrem em 10% ou mais dos pacientes que utilizam este medicamento): sedação e sonolência. Reações comuns (ocorrem entre 1% e 10% dos pacientes que utilizam este medicamento): diminuição do apetite, confusão, depressão, desorientação (confusão mental), diminuição da libido (desejo sexual), ataxia (dificuldade na coordenação motora), perturbação do equilíbrio, falta de coordenação motora, comprometimento da memória, disartria (fala empastada), dificuldades de concentração, hipersonia (aumento do sono), letargia (entorpecimento), tontura, dor de cabeça, visão turva, constipação, boca seca, náusea, fadiga (cansaço) e irritabilidade. Reações incomuns (ocorrem entre 0,1% e 1% dos pacientes que utilizam este medicamento): ansiedadeinsônia (dificuldade para dormir), nervosismoamnésia, tremor, fraqueza múscular (dos músculos) e alteração do peso. Na experiência pós-comercialização, os seguintes eventos adversos adicionais foram relatados: Reações comuns (ocorrem entre 1% e 10% dos pacientes que utilizam este medicamento): sensação de cabeça vazia, Reações incomuns (ocorrem entre 0,1% e 1% dos pacientes que utilizam este medicamento): hiperprolactinemia (aumento da prolactina no sangue), hipomania, mania (estado de euforia), alucinações, raiva, comportamento agressivo ou hostil, agitação, alterações da libido, pensamentos invasivos, pensamento anormal, hiperatividade psicomotora, estimulação, distonia (contração involuntária da musculatura, lenta e repetitiva), alterações gastrintestinais (do sistema digestivo: boca seca, obstipação, diarreia, náuseas/vômitos, salivação aumentada), hepatite (inflamação do fígado), função hepática anormal (problemas no fígado), icterícia (coloração amarelada da pele e mucosas por acúmulo de pigmentos biliares), dermatite (inflamação da pele), incontinência urinária (dificuldade de controlar a urina), retenção urinária, disfunção sexual, irregularidades menstruais e aumento da pressão intraocular (aumento da pressão dentro do olho). Frequência desconhecida: desequilíbrio autonômico do sistema nervoso (manifestações do sistema nervoso autônomo, como aumento da frequência cardíaca, hipotensão ao ficar em pé, dilatação da pupila, entre outros), angioedema (inchaço das mucosas, que pode afetar as vias aéreas), edema periférico (inchaço dos membros), vertigem, síncope (desmaio), acatisia (inquietação interna com dificuldade de ficar parado), rigidez, taquicardia/palpitações, alergia, congestão nasal, crises convulsivas (crises epilépticas repetidas), prurido (coceira), diplopia (visão dupla) e disartria.As reações adversas mais comuns em pacientes com transtorno do pânico avaliadas durante estudos clínicos, que foram mais frequentemente observadas do que com placebo, foram: sedação, sonolência, fadiga, ataxia e fala pastosa. As reações adversas menos comuns foram: humor alterado, sintomas gastrintestinais, dermatite, problemas de memória, disfunção sexual, comprometimento intelectual e confusão. Também foram relatados tontura, insônia, dor de cabeça, distúrbio cognitivo (do pensamento), disartria, ansiedade, movimento involuntário anormal, diminuição ou aumento ou alteração (não especificada) da libido, depressão, contração muscular, fraqueza, distúrbios do tônus (da força) muscular, síncope, acatisia, desinibição, parestesia(diminuição da sensibilidade), loquacidade (ato de falar anormal, intensa e aceleradamente), distúrbios vasomotores (caracterizados por ondas de calor, suor noturno, palpitações cardíacas, náuseas, tontura, ansiedade, insônia), sensação de desrealização, anormalidades dos sonhos, medo, sensação de calor, congestão nasal (do nariz), taquicardia (aceleração dos batimentos do coração), dor torácica (no peito ou nas costas), hiperventilação (aceleração da respiração), infecção das vias aéreas superiores (garganta e nariz), visão turva (ver desfocado), zumbidos, cãibras e rigidez muscular, sudorese (suor excessivo), exantema (pele avermelhada), apetite aumentado ou diminuído, ganho ou perda de peso, dificuldades de micção (de urinar), distúrbios menstruais, edema (inchaço), incontinência urinária, infecção, crises convulsivas, despersonalização, alterações do paladar, diplopia, bilirrubina elevada, enzimas hepáticas (do fígado) elevadas e icterícia.Em muitos dos relatos de casos espontâneos de efeitos comportamentais adversos, os pacientes estavam recebendo outros fármacos (medicamentos) de ação no sistema nervoso central concomitantemente e/ou tinham doenças psiquiátricas subjacentes. Se ocorrer algum desses eventos adversos, a administração de Frontal XRdeve ser interrompida. Relatos publicados isolados que envolveram números pequenos de pacientes sugeriram que os pacientes que apresentam um distúrbio de personalidade limítrofe, história de comportamento violento ou agressivo pregresso ou abuso de bebidas alcoólicas ou outras substâncias, podem ser pacientes de risco para esses eventos. Foram relatados casos de irritabilidade, hostilidade e pensamentos invasivos durante a interrupção da administração de alprazolam em pacientes com distúrbio de estresse pós-traumático.As frequências das reações adversas em pacientes com transtorno do pânico e em pacientes com distúrbio de estresse pós-traumático não foram estabelecidas.Informe ao seu médico, cirurgião-dentista ou farmacêutico o aparecimento de reações indesejáveis pelo uso do medicamento. Informe também à empresa através do seu serviço de atendimento.
